valuation per sqft	address	zone	sqft	valuation	link
192	391 SUMMER ST	MR4	18295	$3,516,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=242
193	357 SOMERVILLE AVE	MR5	4356	$841,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1172
194	8 PARK ST	MR4	4356	$845,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=9624
196	236 PEARL ST	MR4	2614	$511,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=886
197	402 MYSTIC AVE	MR5	1742	$343,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=991
198	8 MEDFORD ST	MR4	6098	$1,204,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1816
198	277 WASHINGTON ST	MR5	8712	$1,728,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1181
199	353 LOWELL ST	MR4	7405	$1,473,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=530
200	525 MEDFORD ST	MR4	3485	$696,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=513
201	175 SCHOOL ST	MR4	4792	$963,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10362
201	371 MEDFORD ST	MR4	3485	$701,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10256
203	114 BROADWAY	MR5	3049	$619,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1464
203	80 BROADWAY	MR5	3485	$708,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1480
204	8 HINCKLEY ST	MR4	4356	$888,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=6163
205	487 SOMERVILLE AVE	MR4	4792	$984,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=764
207	358 BEACON ST	MR4	2614	$541,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=433
208	328 BROADWAY	MR5	3485	$723,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=842
209	278 BROADWAY	MR5	6098	$1,274,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1040
214	10 CLARENDON AVE	MR4	4356	$930,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=2954
214	508 SOMERVILLE AVE	MR4	6970	$1,492,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=776
215	176 BROADWAY	MR5	4792	$1,029,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1422
215	367 MEDFORD ST	MR4	4356	$936,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=10254
215	104 BROADWAY	MR5	5227	$1,125,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1467
215	730 BROADWAY	MR4	6534	$1,406,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=127
217	1165 BROADWAY	MR4	2614	$566,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=33
217	518 SOMERVILLE AVE	MR4	4792	$1,040,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=774
217	409 HIGHLAND AVE	MR4	9148	$1,987,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=167
218	3 OAK ST	MR4	6970	$1,519,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12842
218	146 HIGHLAND AVE	MR4	5663	$1,235,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=725
219	513 MEDFORD ST	MR4	2614	$572,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=522
220	1157 BROADWAY	MR4	4356	$957,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=32
220	14 EVERETT ST	MR5	3920	$862,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12763
221	78 BROADWAY	MR5	2178	$480,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1481
223	390 SOMERVILLE AVE	MR5	4792	$1,067,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=11828
224	78 PROSPECT ST	MR5	9148	$2,046,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1371
225	383 SOMERVILLE AVE	MR5	5663	$1,272,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=942
226	12 MARSHALL ST	MR5	3485	$788,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1037
227	736 BROADWAY	MR4	2614	$594,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=131
229	8 MONTGOMERY AVE	MR5	3049	$696,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12292
231	329 SOMERVILLE AVE	MR5	3920	$906,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1168
232	401 HIGHLAND AVE	MR4	9583	$2,226,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=164
238	188 BROADWAY	MR5	3485	$828,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1417
238	506 MEDFORD ST	MR4	3920	$933,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=525
238	518 MEDFORD ST	MR4	3049	$726,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=350
246	97 ALPINE ST	MR4	3485	$856,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=6495
247	509 MEDFORD ST	MR4	3485	$861,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=520
247	3 WASHINGTON ST	MR4	3049	$754,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1766
248	149 WASHINGTON ST	MR4	2614	$648,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1526
249	343 SOMERVILLE AVE	MR5	3485	$866,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1169
251	304 SOMERVILLE AVE	MR5	6098	$1,527,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1175
251	322 SOMERVILLE AVE	MR5	7841	$1,965,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1174
251	511 MEDFORD ST	MR4	3049	$765,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=521
